nus_kode	nus_navn	wage_avg	wage_median	wage_q1	wage_q3	employments_50	wage_avg_04	wage_median_04	wage_q1_04	wage_q3_04	employments_04	wage_avg_50	wage_median_50	wage_q1_50	wage_q3_50	employments_50
7351	Media og kommunikasjon	601800	561120	480360	676200	2029	471720	466560	417600	515040	476	638160	593760	514920	706680	1553
6631	Medisin	464040	441840	367680	531480	1997	409080	388440	347280	447720	1513	540480	525000	465600	599160	484
6514	Miljø- og forurensningsstudier	555000	533520	443400	617760	1926	415200	399480	327240	481680	501	589080	560040	484440	646200	1425
6799	Primærnæringsfag, andre	457200	421200	362040	501720	1854	379800	357840	317040	424320	223	465960	428640	370200	508920	1631
7521	Fysiske fag	752520	668640	558960	871200	1814	526320	500160	466080	549960	273	792120	704640	606000	921480	1541
4152	Teater- og filmutdanninger	393240	356400	313680	438360	1748	341040	321960	295680	359280	1028	440400	409560	350760	513840	720
6379	Juridiske fag, andre	464280	431280	370200	509520	1726	400320	383760	335040	438840	1034	530280	485760	429720	564240	692
4613	Vernepleiefag	474360	477840	431160	511320	1708	NULL	NULL	NULL	NULL	NULL	474360	477840	431160	511320	1708
6131	Historieutdanninger	499080	458760	375480	562560	1691	377400	354960	321480	410880	680	547560	500040	426720	603720	1011
6341	Samfunnsøkonomi	598320	527160	427200	661320	1690	398520	367200	331080	434640	540	653160	571200	478320	712200	1150
7134	Kulturutdanninger	539880	527520	461040	600000	1665	501000	490560	429000	558960	546	557400	542040	477840	617280	1119
6119	Språkutdanninger, andre	500760	450960	396960	552360	1654	405600	383760	333360	437280	417	523440	466080	419400	579120	1237
6122	Bibliotekutdanninger	511440	490560	451320	548160	1643	403320	394800	356280	454200	207	523080	499200	462000	555720	1436
7639	Medisin, andre	629520	568920	440160	792840	1622	496560	450960	366360	562800	628	701640	673440	514320	849960	994
4449	Hotell- og reiselivsfag, andre	435120	410400	366000	474360	1609	358920	353040	332160	378240	367	454680	429720	388560	489360	1242
4741	Skogbruk	492360	466800	409200	544440	1607	NULL	NULL	NULL	NULL	NULL	496440	470280	411360	549480	1542
7381	Sosialantropologiske fag	561360	531960	466080	610800	1574	468360	444240	399960	504960	286	579600	547800	482760	623520	1288
7331	Samfunnsgeografi	616320	586560	516000	671160	1511	508440	503400	459960	558000	269	639120	606960	536760	693240	1242
6139	Historisk-filosofiske utdanninger, andre	483120	456120	372000	560040	1412	380400	360360	321480	408000	430	514080	490200	413520	577200	982
6642	Tannpleiefag	481080	470400	411960	528240	1410	411720	406200	376200	438360	306	498480	486840	438360	546360	1104
6142	Kristendom og andre religionsutdanninger	493560	469440	396240	558480	1395	396720	376200	329880	432600	432	521640	491160	428640	575160	963
7231	Humaniora og estetikk, lærerutdanninger	532800	526560	504960	553800	1352	521160	520320	499560	537480	867	552000	547200	521160	576360	485
7621	Sosialfag	543960	542760	486960	594240	1304	520080	519360	465600	566280	624	565080	560040	516600	617280	680
6134	Kulturutdanninger	481440	459120	403200	530880	1299	401760	388920	344400	443160	259	497400	473640	420000	547680	1040
7562	Geofysikk	865320	763680	605880	1043160	1281	531480	533040	467640	573240	142	904560	806520	641160	1082760	1139
6553	Finmekaniske fag	540600	510000	452040	600000	1280	442320	440880	421920	475680	255	563760	539160	478800	615480	1025
6256	Videreutdanninger for lærere, naturvitenskapelige fag, håndverksfag og tekniske fag	551760	563760	526920	585000	1242	551760	563760	526920	585000	1242	NULL	NULL	NULL	NULL	NULL
6239	Fag- og yrkesfaglærerutdanninger, andre	454320	464040	362040	516720	1215	421320	393600	327120	494760	806	491880	491640	450000	531000	409
6829	Sikkerhet, andre	624120	579000	498360	720000	1166	531360	507720	426000	587640	466	679440	630480	546240	767040	700
4829	Sikkerhet, andre	453960	431520	389640	503400	1138	418440	415920	372360	450120	592	489000	460080	408240	557640	546
7121	Litteraturutdanninger	561600	550680	479400	618720	1131	486360	490560	408480	558960	202	575400	558960	490560	625680	929
7561	Geologi	1000800	864000	605040	1249800	1099	527400	522000	466080	568560	175	1084920	973320	676200	1348560	924
6169	Bildende kunst og kunsthåndverk, andre	391800	375000	327480	435000	1094	375120	355200	319080	410040	808	432240	421200	362520	480720	286
7531	Matematikk	698640	618720	536640	750000	1081	526800	518880	466080	578880	291	763320	658440	579960	842280	790
4153	Danse- og ballettutdanninger	376800	343560	309360	421680	1067	330480	321480	296160	350520	692	430200	415800	343440	497280	375
7139	Historisk-filosofiske utdanninger, andre	587040	569040	472560	679200	1053	485520	466080	423120	531960	197	608760	589560	492000	686520	856
7169	Bildende kunst og kunsthåndverk, andre	516840	521640	432000	594360	1049	471240	470280	382680	534600	400	541800	541800	461280	618720	649
6581	Næringsmiddelproduksjon	575760	531240	455400	639960	1038	393720	399960	342600	436560	109	590520	541920	471120	648720	929
7721	Jordbruk	681600	630000	560040	752160	1034	NULL	NULL	NULL	NULL	NULL	683160	630000	561120	752640	1028
6429	Handel og markedsføring, andre	461040	420000	350040	528120	1023	392640	363720	326280	424320	664	554160	519960	450000	609600	359
6252	Videreutdanninger for lærere, humanistiske og estetiske fag	526200	535200	493200	575280	1000	526200	535200	493200	575280	1000	NULL	NULL	NULL	NULL	NULL
6741	Skogbruk	521160	510000	440040	577080	997	406320	396960	345120	452880	158	538200	523800	459960	593280	839
6234	Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger	520320	520320	477360	565680	982	472320	494640	410040	527640	470	554280	548400	506280	582960	512
6237	Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger	492000	474240	429720	531600	954	472080	457920	426240	502320	479	511440	483240	440760	548880	475
6152	Teater- og filmutdanninger	438480	420360	338280	493200	925	377280	356760	312960	422400	513	488880	473880	405240	535800	412
6629	Sosialfag, andre	487920	469440	436560	531120	923	432720	429720	389760	458760	252	506160	489240	450960	545520	671
6662	Reseptarfag	486960	482280	431640	521880	916	435240	426840	402840	460680	407	517680	500640	463800	543120	509
6331	Samfunnsgeografi	523320	510840	423360	581040	896	377160	356400	320640	410160	250	555960	537720	467520	595080	646
4553	Finmekaniske fag	563400	527400	438000	648000	894	NULL	NULL	NULL	NULL	NULL	569160	537480	444240	654960	854
4163	Fotofag	437160	407280	347880	490560	884	376920	346560	305280	410160	238	454920	421680	365280	505440	646
4299	Lærerutdanninger og utdanninger i pedagogikk, andre	416880	396000	352680	464280	867	NULL	NULL	NULL	NULL	NULL	417720	393960	352920	464280	789
7711	Fiske og havbruk	705720	639120	549960	786240	860	544920	545280	470040	602880	135	735720	668280	571560	806040	725
7569	Geofag, andre	596880	555960	480360	672000	839	507120	504960	436560	558000	420	675840	637800	540600	763800	419
6235	Helse-, sosial- og idrettsfag, lærerutdanninger	522840	519000	474360	557160	838	467640	466200	428640	508680	139	531720	525000	483000	566160	699
4824	Tollfag	528360	508440	458760	568560	825	NULL	NULL	NULL	NULL	NULL	528360	508440	458760	568560	825
6519	Biologiske fag, andre	428640	399960	331200	496560	818	360840	336840	311040	389760	497	485040	481560	396600	529560	321
4811	Jernbanetrafikkfag	678960	702840	636240	753120	772	652200	689520	571200	738960	260	693120	709560	655440	762600	512
7133	Arkeologi	525240	516360	458280	579360	770	440760	429720	398400	481080	177	547920	542280	482400	596040	593
6659	Terapeutiske fag, andre	492720	470400	380640	560280	739	451680	424680	355080	509160	444	540000	510000	438360	608640	295
6569	Geofag, andre	530040	518880	404040	612000	734	426600	400800	342720	489960	410	609120	579600	518880	680040	324
6011	Generelle programmer	420360	391200	346080	456240	729	NULL	NULL	NULL	NULL	NULL	426240	393120	349200	460560	658
6249	Utdanninger i pedagogikk, andre	530040	531960	491160	579000	709	520320	529080	482880	575760	360	540000	535200	498240	580680	349
7515	Marin- og ferskvannsbiologi	625560	586680	510000	704400	708	485280	474960	433800	530040	111	649920	609000	535440	732120	597
7741	Skogbruk	643440	599880	531120	704760	702	NULL	NULL	NULL	NULL	NULL	661680	609960	548280	724680	634
4823	Politifag	546120	477000	394440	660960	699	NULL	NULL	NULL	NULL	NULL	546120	477000	394440	660960	699
4711	Fiske og havbruk	579240	522240	431040	655920	692	NULL	NULL	NULL	NULL	NULL	591840	528480	441720	673920	610
4833	Andre servicefag, andre	463200	441480	418920	485280	689	449160	436680	412680	474720	246	471240	450240	422760	491040	443
7135	Filosofi og etikk	575400	554160	475320	641640	688	436200	436560	389640	491640	110	596760	570360	503520	649800	578
6253	Videreutdanninger for lærere, pedagogikk	527520	540960	484680	575760	685	527520	540960	484680	575760	685	NULL	NULL	NULL	NULL	NULL
6369	Psykologiske fag, andre	420600	396840	331800	488160	670	386160	360000	321960	442560	510	497520	468480	399960	553800	160
4582	Tekstil- og skinnproduksjon	482160	437280	389760	520320	670	NULL	NULL	NULL	NULL	NULL	488640	443400	391200	523440	620
6372	Kriminologi	567960	531000	441120	623520	666	393240	389040	331200	436920	141	596040	549000	466080	651120	525
7581	Næringsmiddelproduksjon	664680	618960	519960	753480	660	NULL	NULL	NULL	NULL	NULL	690480	649800	543120	780000	565
6689	Idrettsfag, andre	451320	442920	376680	511080	653	389520	382200	331200	427080	283	486720	486840	423240	532680	370
7619	Pleie- og omsorgsfag, andre	588600	578880	528360	631560	646	558240	559080	508440	600600	236	606120	590040	546240	655680	410
7221	Allmenn-/grunnskolelærerutdanninger	557280	536640	511320	592680	645	530400	523560	499920	546000	395	601320	583080	548760	637080	250
7899	Samferdsels- og sikkerhetsfag og andre servicefag, andre	512400	452400	370200	587160	639	NULL	NULL	NULL	NULL	NULL	519960	456000	372840	593040	579
7422	Markedsføring	720120	663240	549960	824520	624	NULL	NULL	NULL	NULL	NULL	756480	687360	586200	849960	539
7513	Mikrobiologi og cellebiologi	546960	490560	450960	574800	621	462960	456360	436560	474360	222	592800	539880	478320	615000	399
7579	Bygg- og anleggsfag, andre	683280	630000	549960	759960	615	621480	579240	513000	674400	313	748200	696000	612960	859800	302
7234	Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger	538560	527880	505080	567000	615	525000	519480	499560	548640	406	562560	547920	523200	586560	209
4162	Tre-, metall- og glasshåndverk	430200	408240	364320	478440	604	NULL	NULL	NULL	NULL	NULL	442800	420600	377400	482160	517
6515	Marin- og ferskvannsbiologi	620640	569400	469920	708840	596	NULL	NULL	NULL	NULL	NULL	648480	584040	493080	743280	505
7164	Tegne-, grafikk-, maler- og skulptørutdanninger	523080	510600	431280	600000	594	476640	475080	380640	551760	122	532800	517680	439200	610920	472
